constituency,party,slNo,criminal,incumbent,symbol,name,gender,id,education,age,image,profession,assets,minister,alliance,acNo
RK Nagar,IND,14,0,False,Grapes,R.Ethiraj,Male,90174,12th Grade (HSC / +2),51,,,₹10.51 L,,independent,11
RK Nagar,IND,15,0,False,Bench,V.Shankar,Male,90175,10th Grade (SSLC),63,,,₹3.76 L,,independent,11
RK Nagar,IND,16,0,False,Chain,M.Sathish,Male,90176,10th Grade (SSLC),42,,,₹3.43 L,,independent,11
RK Nagar,IND,17,0,False,Road roller,J.Saravanakumar,Male,90177,Not Specified,36,,,₹nan,,independent,11
RK Nagar,IND,18,0,False,Laptop,L.Saravanan,Male,90178,Bachelor's Degree,50,,,₹5.65 L,,independent,11
RK Nagar,IND,19,0,False,Green chilli,V.Sudhakar,Male,90179,Bachelor's Degree,31,,,₹2.40 L,,independent,11
RK Nagar,IND,20,0,False,Carpet,K.Sujith,Male,90180,Bachelor's Degree,31,,,₹53.74 L,,independent,11
RK Nagar,IND,21,0,False,Electric pole,R.Tamilarasan,Male,90181,Master's Degree,34,,,₹6.70 L,,independent,11
RK Nagar,IND,22,0,False,Sofa,Tamilselvan,Male,90182,Bachelor's Degree,27,,,₹4.93 L,,independent,11
RK Nagar,IND,23,0,False,Coat,R.Devakumar,Male,90183,Bachelor's Degree,36,,,₹7.65 L,,independent,11
RK Nagar,IND,24,0,False,Iron,D.Prabhu,Male,90184,Bachelor's Degree,37,,,₹6.22 L,,independent,11
RK Nagar,IND,25,0,False,Cake,G.Bothi Rajan,Male,90185,Not Specified,45,,,₹nan,,independent,11
RK Nagar,IND,26,0,False,Chimney,Manikandan.H,Male,90186,Diploma / ITI,28,,,"₹55,500",,independent,11
RK Nagar,IND,27,0,False,Box,G.Madhan Kumar,Male,90187,Not Specified,36,,,₹nan,,independent,11
RK Nagar,IND,28,0,False,Bat,V.Madhan Mohan,Male,90188,Not Specified,35,,,₹nan,,independent,11
RK Nagar,IND,29,0,False,Mixee,P.Marimuthu,Male,90189,Not Specified,70,,,₹nan,,independent,11
RK Nagar,IND,30,0,False,Carrom board,R.Muthu Chella Bharathi,Male,90190,Master's Degree,38,,,"₹89,896",,independent,11
RK Nagar,IND,31,0,False,Pressure cooker,K.Murali,Male,90191,Bachelor's Degree,43,,,₹3.90 L,,independent,11
RK Nagar,IND,32,0,False,Flute,J.Murali Krishnan,Male,90192,Bachelor's Degree,26,,,₹5.85 L,,independent,11
RK Nagar,IND,33,0,False,Gas cylinder,C.Rajamanickam,Male,90193,Master's Degree,65,,,₹69.14 L,,independent,11
RK Nagar,IND,34,0,False,Coconut farm,J.Vijayan,Male,90194,Diploma / ITI,42,,,₹64.10 L,,independent,11
RK Nagar,IND,35,0,False,Robot,A.Vijay,Male,90195,Not Specified,42,,,₹nan,,independent,11
RK Nagar,IND,36,0,False,Hand cart,G.Vijay,Male,90196,Diploma / ITI,29,,,₹3.05 L,,independent,11
RK Nagar,IND,37,0,False,Ring,C.Janarthanan,Male,90197,Bachelor's Degree,33,,,₹1.90 L,,independent,11
RK Nagar,IND,38,0,False,Mike,D.Janarthanan,Male,90198,Diploma / ITI,43,,,₹4.66 L,,independent,11
Perambur,DMK,1,0,False,Rising sun,R.D.Shekar,Male,90199,Bachelor's Degree,59,,,₹nan,,spa,12
Perambur,NTK,2,0,False,Farmer Carrying Plough,S.Vetri Thamizhan,Male,90200,Master's Degree,40,,,₹7.64 L,,ntk,12
Perambur,BSP,3,0,False,Elephant,Vetri Vel Selvam,Male,90201,Bachelor's Degree,32,,,"₹11,000",,others,12
Perambur,TMGMK,4,0,False,Diamond,Ashlin Belmen .A.S,Male,90202,Diploma / ITI,29,,,₹56.00 L,,others,12
Perambur,TK,5,0,False,Matchbox,M.Geeta,Female,90203,Bachelor's Degree,40,,,₹57.16 L,,others,12
Perambur,MANK,6,0,False,Bucket,Dr.R.Saravana Perumal,Male,90204,Doctorate (Ph.D / MD),52,,,₹8.80 L,,others,12
Perambur,TTNP,7,0,False,Scissors,Sivakumar.V,Male,90205,Diploma / ITI,39,,,₹32.38 L,,others,12
Perambur,MK,8,0,False,Telephone,S.Sureshkumar,Male,90206,Bachelor's Degree,42,,,"₹59,000",,others,12
Perambur,SUCI(C),9,0,False,Gas cylinder,J.Sebastin,Male,90207,10th Grade (SSLC),49,,,"₹2,631",,others,12
Perambur,PMK,10,0,False,Mango,M.Thilagabama,Female,90208,Bachelor's Degree,56,,,₹3.32 Cr,,nda,12
Perambur,MMK,11,0,False,Computer,K.M.Devan,Male,90209,Bachelor's Degree,41,,,₹7.33 L,,others,12
Perambur,VTVTK,12,0,False,Pestle and mortar,S.Malathi,Female,90210,12th Grade (HSC / +2),28,,,₹7.25 L,,others,12
